City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Bengkulu,ID,2023-01-03 01:37:16,-3.8004,102.2655,75.34,86,100,3.83,overcast clouds
60,Saint-Pierre,RE,2023-01-03 01:37:17,-21.3393,55.4781,74.88,64,90,5.75,light rain
61,Port Hawkesbury,CA,2023-01-03 01:37:17,45.6169,-61.3485,31.17,84,100,17.27,overcast clouds
62,Labuhan,ID,2023-01-03 01:37:18,-6.8844,112.2051,81.28,75,100,12.24,overcast clouds
63,Reconquista,AR,2023-01-03 01:37:19,-29.15,-59.65,72.91,26,0,7.05,clear sky
64,Pipri,IN,2023-01-03 01:37:19,19.8,75.5333,57.78,94,2,0.0,haze
65,Totness,SR,2023-01-03 01:37:20,5.8833,-56.3167,75.72,90,99,9.13,overcast clouds
66,Malazgirt,TR,2023-01-03 01:37:20,39.1427,42.5401,26.49,33,0,1.79,clear sky
67,Lebu,CL,2023-01-03 01:35:49,-37.6167,-73.65,56.75,84,0,14.23,clear sky
68,Senanga,ZM,2023-01-03 01:37:21,-16.1167,23.2667,64.26,97,100,4.81,light rain
69,Beibei,CN,2023-01-03 01:37:21,29.8256,106.4339,49.37,76,88,1.19,overcast clouds
70,Bredasdorp,ZA,2023-01-03 01:37:21,-34.5322,20.0403,66.7,94,62,4.47,broken clouds
71,Salinopolis,BR,2023-01-03 01:37:22,-0.6136,-47.3561,78.44,83,19,8.52,few clouds
72,Mahebourg,MU,2023-01-03 01:36:11,-20.4081,57.7,74.25,94,40,5.75,scattered clouds
73,Kodiak,US,2023-01-03 01:37:23,57.79,-152.4072,36.91,75,40,13.8,scattered clouds
74,Thompson,CA,2023-01-03 01:33:04,55.7435,-97.8558,14.16,85,100,9.22,light snow
75,Olafsvik,IS,2023-01-03 01:37:23,64.8945,-23.7142,32.61,65,100,13.09,light snow
76,Maceio,BR,2023-01-03 01:35:48,-9.6658,-35.7353,74.64,94,40,3.44,scattered clouds
77,Kirishi,RU,2023-01-03 01:37:24,59.4471,32.0205,24.31,96,100,5.28,overcast clouds
78,Hobart,AU,2023-01-03 01:34:31,-42.8794,147.3294,59.25,66,75,12.66,broken clouds
79,Tuktoyaktuk,CA,2023-01-03 01:37:24,69.4541,-133.0374,6.8,78,100,20.71,light snow
80,Veraval,IN,2023-01-03 01:37:25,20.9,70.3667,65.44,42,14,12.06,few clouds
81,Pangody,RU,2023-01-03 01:37:25,65.85,74.4859,0.32,95,100,18.84,light snow
82,Narsaq,GL,2023-01-03 01:37:26,60.9167,-46.05,-7.38,64,48,7.25,scattered clouds
83,Nianzishan,CN,2023-01-03 01:37:26,47.5167,122.8833,5.47,66,1,5.79,clear sky
84,Haines Junction,CA,2023-01-03 01:37:26,60.7522,-137.5108,30.15,80,100,5.75,overcast clouds
85,Juneau,US,2023-01-03 01:33:49,58.3019,-134.4197,41.22,94,100,14.97,light rain
86,Marzuq,YE,2023-01-03 01:37:27,14.4,46.4667,57.92,40,12,4.05,few clouds
87,Egvekinot,RU,2023-01-03 01:37:27,66.3167,-179.1667,-17.48,88,13,10.2,few clouds
88,Zhuanghe,CN,2023-01-03 01:38:28,39.7008,122.9911,23.16,54,0,4.45,clear sky
89,Tabou,CI,2023-01-03 01:38:28,4.423,-7.3528,76.66,79,6,2.66,clear sky
90,Bereda,ES,2023-01-03 01:38:28,43.2686,-7.5406,39.42,100,33,2.89,scattered clouds
91,Havre,FR,2023-01-03 01:38:29,49.5833,0.3333,46.17,93,0,11.5,clear sky
92,Paita,PE,2023-01-03 01:38:29,-5.0892,-81.1144,68.49,85,70,10.65,broken clouds
93,Tezu,IN,2023-01-03 01:38:29,27.9167,96.1667,62.04,43,0,0.78,clear sky
94,Caravelas,BR,2023-01-03 01:38:30,-17.7125,-39.2481,71.04,86,100,4.47,overcast clouds
95,Cap Malheureux,MU,2023-01-03 01:38:30,-19.9842,57.6142,74.46,73,98,1.99,overcast clouds
96,Broken Hill,AU,2023-01-03 01:38:30,-31.95,141.4333,82.4,27,0,18.23,clear sky
97,Constitucion,CL,2023-01-03 01:38:31,-35.3333,-72.4167,55.33,81,52,16.51,broken clouds
