City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Loikaw,MM,63.7,clear sky,19.6742,97.2094,Nawaday Hotel
153,Cidreira,BR,70.92,few clouds,-30.1811,-50.2056,Hotel Castelo
156,Humberto De Campos,BR,75.33,scattered clouds,-2.5983,-43.4611,No hotel found
157,Buala,SB,83.21,moderate rain,-8.145,159.5921,No hotel found
158,Codrington,AU,61.99,overcast clouds,-38.2667,141.9667,No hotel found
160,Kavaratti,IN,80.35,broken clouds,10.5669,72.642,No hotel found
164,Abu Dhabi,AE,69.82,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
166,Sao Jose Da Coroa Grande,BR,78.39,overcast clouds,-8.8978,-35.1478,Hotel do Sol
168,Antalaha,MG,72.12,broken clouds,-14.9003,50.2788,Hôtel Florida
169,Cabo San Lucas,MX,72.52,clear sky,22.8909,-109.9124,Comfort Rooms
171,Adelaide,AU,75.04,broken clouds,-34.9333,138.6,Quest - King William South
172,Paragominas,BR,71.49,few clouds,-2.9667,-47.4833,No hotel found
176,Pa Sang,TH,73.35,clear sky,18.5262,98.9394,No hotel found
180,Diffa,NE,62.53,clear sky,13.3154,12.6113,UNHCR guest house
182,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Hotel Barlovento
185,Saldanha,ZA,62.98,broken clouds,-33.0117,17.9442,Hoedjesbaai
187,Nikki,BJ,66.49,scattered clouds,9.9401,3.2108,Hotel Chez John
188,Mount Gambier,AU,62.1,overcast clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
191,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Decameron Isleño
198,The Valley,AI,77.83,clear sky,18.217,-63.0578,CeBlue
200,Lamar,US,69.71,overcast clouds,33.6668,-95.5836,Days Inn by Wyndham Paris
202,Ibanda,TZ,61.86,few clouds,-2.7974,32.4746,No hotel found
203,Edgewater,US,67.24,mist,28.9889,-80.9023,Best Western Edgewater Inn
207,Castanos,MX,74.79,scattered clouds,26.7833,-101.4167,No hotel found
211,Vilhena,BR,69.82,overcast clouds,-12.7406,-60.1458,No hotel found
212,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,losmen Surya
213,Bubaque,GW,78.04,scattered clouds,11.2833,-15.8333,Chez Julio
214,Vao,NC,76.46,clear sky,-22.6667,167.4833,Nataiwatch
215,Nosy Varika,MG,73.51,overcast clouds,-20.5833,48.5333,No hotel found
217,Filingue,NE,61.65,few clouds,14.3521,3.3168,No hotel found
218,San Patricio,US,76.15,overcast clouds,28.017,-97.5169,No hotel found
223,Narrabri,AU,89.53,clear sky,-30.3167,149.7833,Tattersall's Hotel
224,Eydhafushi,MV,80.94,clear sky,5.1033,73.0708,No hotel found
225,Funadhoo,MV,80.76,clear sky,6.15,73.2667,No hotel found
226,Tautira,PF,80.65,scattered clouds,-17.7333,-149.15,No hotel found
229,Taoudenni,ML,62.42,clear sky,22.6783,-3.9836,No hotel found
235,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Central Hôtel
236,Bitung,ID,86.85,overcast clouds,1.4451,125.1824,Divers Lodge Lembeh
237,Oussouye,SN,68.18,overcast clouds,12.485,-16.5469,Campement Alulum
238,Nhulunbuy,AU,79.41,heavy intensity rain,-12.2333,136.7667,No hotel found
246,Xuddur,SO,68.86,clear sky,4.1213,43.8894,No hotel found
250,Nizwa,OM,63.01,overcast clouds,22.9333,57.5333,Nizwa Heritage Inn
252,Port-Gentil,GA,77.14,overcast clouds,-0.7193,8.7815,Tara-Mé
253,Taylor,US,62.06,few clouds,32.3001,-99.8337,No hotel found
255,Kouroussa,GN,68.04,clear sky,10.65,-9.8833,No hotel found
256,Campo Grande,BR,71.15,light rain,-20.4428,-54.6464,Hotel Metropolitan
257,Moerai,PF,78.8,moderate rain,-22.4333,-151.3333,Manotel Rurutu
260,Srandakan,ID,81.36,light rain,-7.9386,110.2506,No hotel found
261,Atambua,ID,77.54,overcast clouds,-9.1061,124.8925,Hotel Matahari
269,Harper,LR,77.07,scattered clouds,4.375,-7.7169,No hotel found
272,Port Lincoln,AU,66.81,scattered clouds,-34.7333,135.8667,Boston Hotel
273,Lavumisa,SZ,68.5,overcast clouds,-27.31,31.892,No hotel found
275,Santa Rosa,PH,80.1,overcast clouds,14.3122,121.1114,JARS RESORT
278,Isabela,PH,84.25,overcast clouds,6.7085,121.9711,No hotel found
283,San Juan,AR,83.21,clear sky,-31.5375,-68.5364,Hotel San Francisco
285,Inhambane,MZ,72.95,clear sky,-23.865,35.3833,Hotel de Inhambane
289,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel Iberia
292,Takoradi,GH,77.83,few clouds,4.8845,-1.7554,Hillcrest
295,Tete,MZ,73.85,light rain,-16.1564,33.5867,Zambezi Hotel
302,Cairns,AU,85.95,broken clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
303,Kruisfontein,ZA,68.88,overcast clouds,-34.0033,24.7314,No hotel found
310,Manggar,ID,80.69,overcast clouds,-2.8833,108.2667,No hotel found
311,Banda Aceh,ID,78.94,overcast clouds,5.5577,95.3222,Hotel 61
312,Doha,QA,62.58,moderate rain,25.2867,51.5333,Al MIrqab
313,Port Blair,IN,78.84,broken clouds,11.6667,92.75,Andaman Ocean Breeze
314,Wagar,SD,72.66,clear sky,16.1525,36.2032,No hotel found
316,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Terra Sur
317,Sao Miguel Do Araguaia,BR,72.88,overcast clouds,-13.275,-50.1628,Hotel São Miguel
320,Majenang,ID,82.2,overcast clouds,-7.2975,108.7642,No hotel found
322,Neiafu,TO,86.68,light rain,-18.65,-173.9833,Port Wine Guest House
326,Diego De Almagro,CL,63.73,clear sky,-26.3667,-70.05,Residencial Hambyll
327,Cuevas,PH,73.8,overcast clouds,8.0192,126.0942,No hotel found
328,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,Hotel valencia
333,Dingle,PH,75.52,overcast clouds,10.9995,122.6711,No hotel found
334,Hambantota,LK,68.34,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
337,Sao Joao Da Barra,BR,74.52,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
338,Tutoia,BR,78.89,broken clouds,-2.7619,-42.2744,Pousada San Vicente
339,Iguatu,BR,77.76,overcast clouds,-6.3594,-39.2986,Hotel Exposição
340,Charlestown,AU,83.98,clear sky,-32.95,151.6667,Warners Bay Hotel
341,Parana,AR,76.55,clear sky,-31.732,-60.5238,Grand Hotel Alvear
343,Key West,US,75.99,clear sky,24.5557,-81.7826,Harborside Hotel & Marina
345,Tomatlan,MX,70.59,overcast clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
347,Morehead,US,64.94,moderate rain,37.2711,-87.1764,No hotel found
348,Carutapera,BR,76.14,scattered clouds,-1.195,-46.02,No hotel found
349,Pointe Michel,DM,77.88,few clouds,15.25,-61.3833,Sibouli Valley
352,Tiruvannamalai,IN,69.57,clear sky,12.2167,79.0667,The Dreaming Tree
354,Rawson,AR,68.97,few clouds,-43.3002,-65.1023,Hotel Deportivo
355,Ribeira Grande,PT,60.78,overcast clouds,38.5167,-28.7,No hotel found
358,Tabuk,PH,71.92,overcast clouds,17.4189,121.4443,Davidson Hotel
361,Maningrida,AU,82.13,overcast clouds,-12.0667,134.2667,No hotel found
362,Lima,PE,71.91,scattered clouds,-12.0432,-77.0282,Hotel Peach Garden
364,Menongue,AO,61.02,light rain,-14.6585,17.691,No hotel found
367,Tsiroanomandidy,MG,65.84,light rain,-18.7667,46.0333,Mega Food Hotel
372,Kabo,CF,71.1,few clouds,7.6994,18.629,No hotel found
374,Belmonte,BR,74.66,overcast clouds,-15.8631,-38.8828,No hotel found
376,San Isidro,PE,72.01,scattered clouds,-12.1167,-77.05,Soul Mate
381,Hokitika,NZ,69.51,overcast clouds,-42.7167,170.9667,Beachfront Hotel
383,Kerema,PG,86.72,scattered clouds,-7.9631,145.7785,No hotel found
384,Kahului,US,80.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
385,Chimbote,PE,67.96,overcast clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
386,Avera,US,60.31,clear sky,33.194,-82.5271,No hotel found
387,Itaituba,BR,78.96,few clouds,-4.2761,-55.9836,TG Hotel
393,Estelle,US,73.99,scattered clouds,29.8458,-90.1067,No hotel found
394,Kirando,TZ,71.29,light rain,-7.4167,30.6,Lakeshore Lodge
395,Luwuk,ID,86.65,overcast clouds,-0.9516,122.7875,No hotel found
396,Pacocha,PE,69.1,overcast clouds,-17.5833,-71.3333,Gran Hotel Ilo
397,Umm Lajj,SA,69.44,clear sky,25.0213,37.2685,No hotel found
398,Bani,DO,73.85,broken clouds,18.2833,-70.3333,HOTEL GLAMOURS
399,Tarabha,IN,61.23,clear sky,20.7333,83.65,No hotel found
400,Kokopo,PG,86.34,broken clouds,-4.352,152.2633,Hotel Kokopo
403,Thinadhoo,MV,80.29,broken clouds,0.5333,72.9333,No hotel found
405,Mogadishu,SO,77.47,overcast clouds,2.0371,45.3438,SYL Hotel
408,Adrar,MR,64.08,clear sky,20.5022,-10.0711,No hotel found
409,Aguimes,ES,63.23,clear sky,27.9054,-15.4461,Hotel Villa de Agüimes
411,Varzea Da Palma,BR,69.91,scattered clouds,-17.5981,-44.7308,No hotel found
412,Adre,TD,60.58,clear sky,13.4667,22.2,No hotel found
413,Dwarka,IN,68.18,clear sky,22.2394,68.9678,The Dwarika Hotel
417,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,Hotel del Valle
420,Sur,OM,71.8,clear sky,22.5667,59.5289,Sur Hotel
423,Faanui,PF,81.59,broken clouds,-16.4833,-151.75,Oa Oa Lodge
426,Rocha,UY,60.22,clear sky,-34.4833,-54.3333,Hotel Municipal
427,Biltine,TD,63.66,clear sky,14.5333,20.9167,فندق ثلاث نجوم بلتن
428,Sangre Grande,TT,77.05,light rain,10.5835,-61.1177,No hotel found
429,Moron,AR,75.97,clear sky,-34.6534,-58.6198,La Esquina
434,Boende,CD,71.37,overcast clouds,-0.2167,20.8667,No hotel found
435,Banjar,ID,84.36,overcast clouds,-8.19,114.9675,Villa Banjar Beach
441,Plettenberg Bay,ZA,69.98,clear sky,-34.0527,23.3716,Milkwood Manor
442,Kavieng,PG,85.19,scattered clouds,-2.5744,150.7967,Kavieng Hotel
