City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,De-Kastri,RU,2022-12-30 19:46:56,51.4667,140.7833,255.64,92,100,1.92
68,Luorong,CN,2022-12-30 19:46:56,24.4058,109.6086,279.31,74,19,2.7
69,Ribeira Grande,PT,2022-12-30 19:46:57,38.5167,-28.7,286.37,76,75,10.8
70,Vostok,RU,2022-12-30 19:46:57,46.4856,135.8833,251.05,98,45,2.32
71,Kholodnyy,RU,2022-12-30 19:46:57,62.7167,147.95,238.22,100,99,1.42
72,Hermanus,ZA,2022-12-30 19:46:58,-34.4187,19.2345,291.37,69,0,7.82
73,Djibo,BF,2022-12-30 19:46:58,14.1022,-1.6306,295.82,15,10,4.71
74,Manga,BF,2022-12-30 19:46:59,11.6636,-1.0731,296.64,17,4,3.94
75,Tuktoyaktuk,CA,2022-12-30 19:46:59,69.4541,-133.0374,256.15,85,100,5.66
76,Bilibino,RU,2022-12-30 19:46:59,68.0546,166.4372,237.02,99,16,1.64
77,Rawson,AR,2022-12-30 19:47:00,-43.3002,-65.1023,292.12,44,95,8.05
78,Castro,BR,2022-12-30 19:47:00,-24.7911,-50.0119,295.69,74,12,2.42
79,Helong,CN,2022-12-30 19:47:01,42.5397,128.9972,260.3,76,0,2.63
80,Dikson,RU,2022-12-30 19:47:01,73.5069,80.5464,249.84,94,100,10.18
81,Mar Del Plata,AR,2022-12-30 19:45:56,-38.0023,-57.5575,308.16,57,0,12.35
82,Bredasdorp,ZA,2022-12-30 19:47:03,-34.5322,20.0403,290.88,65,0,6.64
83,Provideniya,RU,2022-12-30 19:47:03,64.3833,-173.3,254.08,82,100,5.26
84,Horadiz,AZ,2022-12-30 19:47:04,39.4488,47.3353,277.01,78,0,1.38
85,Kapaa,US,2022-12-30 19:47:05,22.0752,-159.319,297.33,89,0,1.54
86,Baie-Comeau,CA,2022-12-30 19:47:05,49.2168,-68.1489,272.97,100,100,2.06
87,Los Zacatones,MX,2022-12-30 19:47:06,22.95,-102.05,290.98,32,64,9.88
88,Gosh,AM,2022-12-30 19:47:06,40.7288,44.9987,272.81,48,0,2.9
89,Chokurdakh,RU,2022-12-30 19:47:07,70.6333,147.9167,233.27,100,74,1.97
90,Okhotsk,RU,2022-12-30 19:47:08,59.3833,143.3,251.35,88,95,3.77
91,Selma,US,2022-12-30 19:47:08,36.5708,-119.6121,289.0,100,100,3.09
92,Hilo,US,2022-12-30 19:47:09,19.7297,-155.09,303.31,68,0,2.24
93,Concarneau,FR,2022-12-30 19:48:10,47.875,-3.9225,289.72,91,100,13.51
94,Rumonge,BI,2022-12-30 19:48:11,-3.9736,29.4386,294.1,89,96,1.11
95,Pemangkat,ID,2022-12-30 19:48:11,1.1667,108.9667,298.48,82,95,5.77
96,Fonte Boa,BR,2022-12-30 19:48:12,-2.4959,-66.2662,305.26,50,44,1.34
97,Vardo,NO,2022-12-30 19:48:14,70.3705,31.1107,271.14,74,75,11.32
98,Arraial Do Cabo,BR,2022-12-30 19:48:14,-22.9661,-42.0278,296.13,88,100,4.12
99,Bowen,AU,2022-12-30 19:48:15,-20.0167,148.2333,297.13,86,12,3.71
100,Bengkulu,ID,2022-12-30 19:48:16,-3.8004,102.2655,296.95,88,100,5.28
101,Oksfjord,NO,2022-12-30 19:48:18,70.2396,22.3479,274.25,87,98,6.23
102,Bjornevatn,NO,2022-12-30 19:48:19,69.6672,29.9847,269.94,80,75,5.66
103,Grand Gaube,MU,2022-12-30 19:48:20,-20.0064,57.6608,297.37,67,0,2.39
104,Aklavik,CA,2022-12-30 19:48:22,68.2191,-135.0107,254.15,78,75,1.54
105,Cape Town,ZA,2022-12-30 19:47:14,-33.9258,18.4232,295.03,59,0,5.66
106,Eureka,US,2022-12-30 19:48:27,40.8021,-124.1637,287.15,98,100,0.45
107,Saint-Philippe,RE,2022-12-30 19:48:28,-21.3585,55.7679,297.92,81,42,2.29
108,Ancud,CL,2022-12-30 19:48:29,-41.8697,-73.8203,289.16,75,13,4.9
109,Upernavik,GL,2022-12-30 19:48:30,72.7868,-56.1549,250.07,88,100,1.44
110,Hof,DE,2022-12-30 19:48:30,50.3167,11.9167,280.1,90,75,9.77
111,Choya,RU,2022-12-30 19:48:31,52.0108,86.5467,266.9,97,100,0.6
112,Bongandanga,CD,2022-12-30 19:48:31,1.5,21.05,297.49,47,100,0.99
113,Tiksi,RU,2022-12-30 19:48:31,71.6872,128.8694,253.51,98,100,5.83
114,Vestmannaeyjar,IS,2022-12-30 19:48:32,63.4427,-20.2734,266.55,67,8,7.55
115,Sorong,ID,2022-12-30 19:48:32,-0.8833,131.25,298.31,85,100,5.24
116,Lompoc,US,2022-12-30 19:48:33,34.6391,-120.4579,290.94,94,100,1.54
117,Manggar,ID,2022-12-30 19:48:33,-2.8833,108.2667,299.6,77,100,7.27
118,Northam,GB,2022-12-30 19:48:33,51.0333,-4.2167,283.37,93,100,8.65
119,Redding,US,2022-12-30 19:48:34,40.5865,-122.3917,281.72,96,100,2.06
120,Kaitangata,NZ,2022-12-30 19:48:34,-46.2817,169.8464,285.62,71,19,1.17
121,Plettenberg Bay,ZA,2022-12-30 19:48:34,-34.0527,23.3716,290.36,75,0,5.24
122,Paamiut,GL,2022-12-30 19:48:35,61.994,-49.6678,261.15,80,5,6.7
123,Kinston,US,2022-12-30 19:48:35,35.2627,-77.5816,294.35,60,75,3.09
124,Altar,MX,2022-12-30 19:48:36,30.7,-111.8167,291.18,50,2,1.53
